Timestamp,Category,Severity,Message,MetricValue
2026-06-23T23:31:56.930330,Intune_Enrollment,Informational,Standard telemetry ping for operational category: Intune_Enrollment,48.37
2026-06-29T13:30:56.930330,Authentication,Warning,Standard telemetry ping for operational category: Authentication,28.3
2026-06-24T12:21:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,22.65
2026-06-26T04:48:56.930330,FinOps_Cost,Informational,Unmapped Resource Cost Spike: Discovered orphaned premium storage tier.,896.81
2026-06-25T03:02:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,11.86
2026-06-25T20:21:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,8.84
2026-06-28T13:44:56.930330,Authentication,Warning,Standard telemetry ping for operational category: Authentication,6.58
2026-06-25T11:05:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,28.23
2026-06-30T14:41:56.930330,Intune_Enrollment,Informational,Standard telemetry ping for operational category: Intune_Enrollment,22.39
2026-06-26T15:50:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,26.32
2026-06-26T22:16:56.930330,Intune_Enrollment,Informational,Standard telemetry ping for operational category: Intune_Enrollment,28.65
2026-06-25T15:06:56.930330,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,27.05
2026-06-30T18:46:56.930330,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,49.71
2026-06-30T20:25:56.930330,FinOps_Cost,Warning,Standard telemetry ping for operational category: FinOps_Cost,31.34
2026-06-30T10:25:56.930330,Authentication,Critical,Standard telemetry ping for operational category: Authentication,48.28
2026-06-27T07:36:56.930330,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,17.8
2026-06-24T13:32:56.930330,Intune_Enrollment,Informational,Standard telemetry ping for operational category: Intune_Enrollment,44.58
2026-06-28T10:31:56.930330,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,11.55
2026-06-27T05:39:56.930330,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,22.67
2026-06-25T04:31:56.930330,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,41.19
2026-06-29T14:55:56.930330,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,10.94
2026-06-30T05:22:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,10.67
2026-06-25T03:14:56.930330,VirtualMachines,Warning,Standard telemetry ping for operational category: VirtualMachines,34.14
2026-06-27T18:41:56.930330,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,17.81
2026-06-27T13:30:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,47.33
2026-06-26T08:22:56.930330,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,25.26
2026-06-30T14:42:56.930330,Authentication,Informational,Standard telemetry ping for operational category: Authentication,28.34
2026-06-25T21:51:56.930330,Authentication,Warning,Standard telemetry ping for operational category: Authentication,49.1
