Timestamp,Category,Severity,Message,MetricValue,Anomaly_Score,Is_Anomaly
2026-08-01T10:28:47.753976,Intune_Enrollment,Critical,Standard telemetry ping for operational category: Intune_Enrollment,45.53,1,No
2026-08-02T22:03:47.753976,VirtualMachines,Warning,Standard telemetry ping for operational category: VirtualMachines,32.28,1,No
2026-08-02T17:49:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,37.47,1,No
2026-07-29T01:06:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,27.4,1,No
2026-08-03T01:39:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,18.94,1,No
2026-08-01T09:37:47.753976,Authentication,Warning,Standard telemetry ping for operational category: Authentication,34.2,1,No
2026-07-28T04:18:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,40.07,1,No
2026-08-01T12:48:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,8.12,1,No
2026-07-28T11:53:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,12.3,1,No
2026-07-28T17:26:47.753976,VirtualMachines,Warning,Standard telemetry ping for operational category: VirtualMachines,30.07,1,No
2026-08-01T01:50:47.753976,Authentication,Critical,Standard telemetry ping for operational category: Authentication,26.41,1,No
2026-07-30T07:15:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,19.27,1,No
2026-07-30T20:27:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,14.5,1,No
2026-08-02T06:30:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,7.48,1,No
2026-07-27T22:38:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,12.61,1,No
2026-07-31T01:57:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,37.24,1,No
2026-08-01T15:33:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,27.82,1,No
2026-07-30T07:59:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,16.7,1,No
2026-07-30T20:12:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,8.46,1,No
2026-07-27T06:19:47.753976,Authentication,Critical,Standard telemetry ping for operational category: Authentication,10.88,1,No
2026-07-30T23:28:47.753976,Authentication,Warning,Standard telemetry ping for operational category: Authentication,20.08,1,No
2026-08-01T23:15:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,26.12,1,No
2026-07-31T08:11:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,12.04,1,No
2026-07-29T03:45:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,17.35,1,No
2026-07-28T21:15:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,47.59,1,No
2026-07-29T03:42:47.753976,FinOps_Cost,Critical,Standard telemetry ping for operational category: FinOps_Cost,11.26,1,No
2026-07-31T08:27:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,38.71,1,No
2026-07-27T01:49:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,5.92,1,No
2026-07-30T11:44:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,11.45,1,No
2026-07-28T15:23:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,5.34,-1,Yes
2026-07-29T16:06:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,44.43,1,No
2026-08-02T08:44:47.753976,Authentication,Critical,Standard telemetry ping for operational category: Authentication,6.78,1,No
2026-07-28T23:45:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,44.35,1,No
2026-08-01T14:25:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,19.82,1,No
2026-07-28T04:59:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,19.84,1,No
2026-08-03T00:40:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,47.8,1,No
2026-07-27T20:12:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,35.16,1,No
2026-07-28T08:13:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,23.24,1,No
2026-07-30T15:28:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,7.65,1,No
2026-08-02T08:41:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,9.04,1,No
2026-07-31T04:33:47.753976,VirtualMachines,Warning,Standard telemetry ping for operational category: VirtualMachines,22.46,1,No
2026-07-27T05:30:47.753976,Authentication,Warning,Standard telemetry ping for operational category: Authentication,41.97,1,No
2026-08-01T20:12:47.753976,Authentication,Critical,Standard telemetry ping for operational category: Authentication,30.59,1,No
2026-07-28T15:35:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,23.71,1,No
2026-07-28T14:16:47.753976,FinOps_Cost,Critical,Standard telemetry ping for operational category: FinOps_Cost,33.53,1,No
2026-07-30T11:10:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,22.48,1,No
2026-07-29T14:07:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,34.5,1,No
2026-08-02T04:49:47.753976,Intune_Enrollment,Informational,Standard telemetry ping for operational category: Intune_Enrollment,45.19,1,No
2026-07-28T12:35:47.753976,Authentication,Critical,Standard telemetry ping for operational category: Authentication,17.54,1,No
2026-07-27T11:34:47.753976,Authentication,Warning,Standard telemetry ping for operational category: Authentication,46.28,1,No
2026-07-27T23:53:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,17.54,1,No
2026-07-29T12:32:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,16.46,1,No
2026-08-01T10:29:47.753976,Authentication,Warning,Standard telemetry ping for operational category: Authentication,20.16,1,No
2026-07-28T01:05:47.753976,FinOps_Cost,Informational,Standard telemetry ping for operational category: FinOps_Cost,37.25,1,No
2026-07-28T20:57:47.753976,VirtualMachines,Critical,Standard telemetry ping for operational category: VirtualMachines,46.39,1,No
2026-08-01T04:46:47.753976,FinOps_Cost,Critical,Standard telemetry ping for operational category: FinOps_Cost,29.09,1,No
2026-07-28T21:47:47.753976,Intune_Enrollment,Informational,Standard telemetry ping for operational category: Intune_Enrollment,17.63,1,No
2026-07-30T19:58:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,7.07,1,No
2026-07-27T12:49:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,14.82,1,No
2026-08-02T16:14:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,26.22,1,No
2026-07-31T10:04:47.753976,VirtualMachines,Informational,Standard telemetry ping for operational category: VirtualMachines,30.91,1,No
2026-07-30T09:18:47.753976,Authentication,Informational,Standard telemetry ping for operational category: Authentication,33.84,1,No
